feature_name,random_feature_importance
battery_power,0.2912291401980419
blue,0.6118528947223795
clock_speed,0.13949386065204183
dual_sim,0.29214464853521815
fc,0.3663618432936917
four_g,0.45606998421703593
int_memory,0.7851759613930136
m_dep,0.19967378215835974
n_cores,0.5142344384136116
pc,0.5924145688620425
px_height,0.046450412719997725
ram,0.6075448519014384
sc_w,0.17052412368729153
talk_time,0.06505159298527952
three_g,0.9488855372533332
touch_screen,0.9656320330745594
wifi,0.8083973481164611
