feature_name,random_feature_importance
Dependent_count,0.8127507320319255
Total_Relationship_Count,0.7718737655666386
Months_Inactive_12_mon,0.8182783742509124
Contacts_Count_12_mon,0.4964305432392292
Total_Trans_Amt,0.21898497542599993
Avg_Utilization_Ratio,0.9060756804246937
Gender_M,0.7937420708434729
Education_Level_Doctorate,0.7458320810277667
Education_Level_Graduate,0.035776127812923275
Education_Level_High School,0.4860656297964807
Education_Level_Post-Graduate,0.33989160953947317
Education_Level_Uneducated,0.3440652502349657
Education_Level_Unknown,0.12590551557507446
Marital_Status_Married,0.8831581325544781
Marital_Status_Single,0.24251285828250202
Marital_Status_Unknown,0.04923527563024177
Income_Category_$40K - $60K,0.45914103533223616
Income_Category_$60K - $80K,0.5436705981102605
Income_Category_$80K - $120K,0.3565089159891984
Income_Category_Unknown,0.36778736171205395
Card_Category_Gold,0.3933539761419441
Card_Category_Platinum,0.684890068739273
Card_Category_Silver,0.25671371169595447
