feature_name,random_feature_importance
Dependent_count,0.0906064345328208
Total_Relationship_Count,0.6183860093330873
Months_Inactive_12_mon,0.38246199126716274
Contacts_Count_12_mon,0.9832308858067882
Total_Trans_Amt,0.4667628932479799
Avg_Utilization_Ratio,0.8599404067363206
Gender_M,0.6803075385877797
Education_Level_Doctorate,0.450499251969543
Education_Level_Graduate,0.013264961159866528
Education_Level_High School,0.9422017556848528
Education_Level_Post-Graduate,0.5632882178455393
Education_Level_Uneducated,0.3854165025399161
Education_Level_Unknown,0.015966252220214194
Marital_Status_Married,0.230893825622149
Marital_Status_Single,0.24102546602601171
Marital_Status_Unknown,0.6832635188254582
Income_Category_$40K - $60K,0.6099966577826209
Income_Category_$60K - $80K,0.8331949117361643
Income_Category_$80K - $120K,0.17336465350777208
Income_Category_Unknown,0.3910606075732408
Card_Category_Gold,0.18223608778806233
Card_Category_Platinum,0.7553614103176525
Card_Category_Silver,0.4251558744912447
