number of features,accuracy,mutual_info
0,0.87,0.005
1,0.87,0.005
2,0.87,0.016
3,0.87,0.027
4,0.87,0.027
5,0.87,0.027
6,0.87,0.027
7,0.87,0.027
8,0.87,0.027
9,0.87,0.028
10,0.87,0.028
11,0.87,0.053
12,0.87,0.093
13,0.87,0.093
14,0.87,0.114
