feature_name,model_feature_importance
duration,0.28635653031481073
balance,0.11749977698993495
poutcome_success,0.08857396939991599
day,0.08403348414814663
pdays,0.04827352014144946
campaign,0.04033699758099293
housing_yes,0.029219868095002474
previous,0.021597138529201317
education_secondary,0.019742760851542935
marital_married,0.019498670956706647
job_technician,0.01833628772706709
month_may,0.017529876338157873
month_feb,0.015582199457119531
contact_unknown,0.015367674744883925
month_jun,0.015183968815867678
month_mar,0.014165217174132713
month_oct,0.013911378185206519
month_jul,0.013081435809394538
loan_yes,0.010318151996429301
job_services,0.009994531355492182
marital_single,0.009630001585854864
education_tertiary,0.009071277546782757
job_student,0.00836811301492121
job_blue-collar,0.007865390229111662
month_sep,0.007086345149447205
month_nov,0.006253807630720273
month_jan,0.005965766545808971
job_retired,0.005608589050823596
job_management,0.005518510358840341
job_unemployed,0.005423293002073665
month_aug,0.005137526539140132
job_self-employed,0.004588721292068283
job_housemaid,0.004580228270826152
contact_telephone,0.004344092839097961
job_entrepreneur,0.0036895002184849316
education_unknown,0.0031948752100719974
job_unknown,0.0017635482078811528
poutcome_other,0.0016716815698291886
default_yes,0.0016352931267601988
month_dec,0.0
