feature_name,model_feature_importance
duration,0.26640556664167125
balance,0.11818451734015077
day,0.09905846036593126
poutcome_success,0.05332755725755073
pdays,0.05076892555506946
campaign,0.04650165282037413
previous,0.02471783864670646
housing_yes,0.023875019834646287
education_secondary,0.016986641947590708
month_mar,0.016543645885321624
marital_married,0.016164017843732593
contact_unknown,0.01593395164625534
month_oct,0.015556013459719235
marital_single,0.015529719133029245
education_tertiary,0.01451340228422933
month_jul,0.01428465531484525
job_technician,0.013436986567686158
month_feb,0.012443019601733076
month_jun,0.012215993800259143
month_aug,0.012198425462722554
month_may,0.012119168505832455
job_management,0.011774808016165933
job_blue-collar,0.011164167280682223
loan_yes,0.010796067814125709
month_nov,0.009876033044668105
job_retired,0.009647227585245007
contact_telephone,0.009620321839461099
job_services,0.008678967144561893
month_jan,0.007225437736157854
month_sep,0.007103255077176577
job_student,0.00704327123392836
education_unknown,0.007009159445403939
poutcome_other,0.0063822200700818345
job_unemployed,0.006113121670517517
job_self-employed,0.004931662115648763
job_housemaid,0.0038852318149609007
job_entrepreneur,0.0036363013116747474
month_dec,0.0024696007513898845
job_unknown,0.0009874010498066776
default_yes,0.0008905650832858944
