feature_name,random_feature_importance
balance,0.09289758540180937
day,0.17014760943097496
duration,0.3923622135055389
campaign,0.5351871225393613
pdays,0.2296708815213837
previous,0.08197747016041523
job_blue-collar,0.735860293539386
job_entrepreneur,0.29300765502254134
job_housemaid,0.5462490138867038
job_management,0.7645086262324644
job_retired,0.10538993377797379
job_self-employed,0.5129969720980921
job_services,0.8345946576407571
job_student,0.3595261852310965
job_technician,0.5312586809341409
job_unemployed,0.9398452807211797
job_unknown,0.7443715501210312
marital_married,0.39113280618451185
marital_single,0.1446851608018156
education_secondary,0.2723107868374971
education_tertiary,0.553244683436665
education_unknown,0.1664676444585006
default_yes,0.35632021842194384
housing_yes,0.6531382059236442
loan_yes,0.9315593204932825
contact_telephone,0.22498639719485414
contact_unknown,0.25407963954858526
month_aug,0.6854473473597475
month_dec,0.12041902372071
month_feb,0.16501815178892876
month_jan,0.17467419020317076
month_jul,0.6506955904881235
month_jun,0.4669194766355217
month_mar,0.12237770200507414
month_may,0.27302841439704884
month_nov,0.46088035814761585
month_oct,0.3094781080756187
month_sep,0.416400938782029
poutcome_other,0.9169998816729085
poutcome_success,0.9654437859739313
