feature_name,dfx_feature_importance
housing_yes,0.005741802086527201
duration,0.0055824529867617555
job_technician,0.005575427017419327
job_management,0.004938289780935965
previous,0.004935475490360216
balance,0.004878315684779641
contact_unknown,0.0030002279927985576
marital_single,0.0029855525942697873
pdays,0.00269918458617059
poutcome_success,0.0026957874436963096
job_retired,0.0021711728001970673
month_jun,0.002108487883624098
job_housemaid,0.0019316493313521602
loan_yes,0.0018831156919319342
month_dec,0.0013314789937559513
month_may,0.001329803219573456
campaign,0.0013216768739304672
month_aug,0.0012637090497417403
job_unknown,0.0010523833109271502
month_feb,0.0007117044165087606
job_blue-collar,0.000643884977905324
job_unemployed,0.0006430745964967293
day,0.0005456627645830259
contact_telephone,0.00024859076865021496
month_mar,0.00019230013286477911
education_unknown,0.0001823418267202393
job_self-employed,0.00017164821109919611
education_tertiary,0.0001714321779195669
month_oct,0.00016630371261377314
default_yes,9.81679337300816e-05
job_services,9.114470729129437e-05
month_jan,3.265276172657713e-05
education_secondary,0.0
job_entrepreneur,0.0
marital_married,0.0
month_jul,0.0
job_student,0.0
month_nov,0.0
month_sep,0.0
poutcome_other,0.0
