feature_name,random_feature_importance
balance,0.16968138659768417
day,0.30867931315715424
duration,0.19368801975207306
campaign,0.17572106929105402
pdays,0.0991400021866008
previous,0.9590311910951821
job_blue-collar,0.5020898130039733
job_entrepreneur,0.5042285660624107
job_housemaid,0.7889809302405176
job_management,0.22755391162917982
job_retired,0.5761970376462368
job_self-employed,0.2683517278174635
job_services,0.5300418276229698
job_student,0.4324959714244879
job_technician,0.42169973570444064
job_unemployed,0.05730759273376973
job_unknown,0.8709383216965174
marital_married,0.6021806554467869
marital_single,0.6302454171374781
education_secondary,0.9356967455138241
education_tertiary,0.8045556129222261
education_unknown,0.9831287126696667
default_yes,0.20983492154682382
housing_yes,0.5289066496623213
loan_yes,0.42538782368497996
contact_telephone,0.07232125415702695
contact_unknown,0.7146022279482144
month_aug,0.7203629318270205
month_dec,0.16356191715500024
month_feb,0.6888336647506095
month_jan,0.048832037587543176
month_jul,0.6187762588267969
month_jun,0.3806578860111586
month_mar,0.48131529589904176
month_may,0.2811202971423058
month_nov,0.3706055917327926
month_oct,0.815831365301914
month_sep,0.9815537605871504
poutcome_other,0.3466041572404627
poutcome_success,0.278324443771934
