feature_name,shap_feature_importance
duration,0.6632709732756665
housing_yes,0.5758709917628061
marital_married,0.32684711422887935
contact_unknown,0.32010875395021243
month_may,0.3145007211716204
education_secondary,0.2997087277903689
campaign,0.23978294822479612
job_blue-collar,0.16674586882485018
pdays,0.15180390722073306
day,0.11101583253139186
loan_yes,0.1032971588995946
job_technician,0.07219620561242977
month_jul,0.05784903994207074
marital_single,0.05506876928243114
month_jun,0.03872327431263753
previous,0.033746258599978825
job_management,0.030353219363611347
month_aug,0.02813933117587305
education_tertiary,0.02763172547230113
poutcome_success,0.026782945405952815
month_nov,0.021079504952163538
job_services,0.014843012634430306
month_feb,0.010808039037163387
job_retired,0.006329132266228877
month_oct,0.005652982556571607
job_entrepreneur,0.005225430472879073
education_unknown,0.003869646638358649
job_student,0.003101630011625005
job_housemaid,0.002822636067553998
month_mar,0.002422787295502448
month_jan,0.0016030387627687947
job_self-employed,0.0015493941489799145
contact_telephone,0.0015082259780511123
month_sep,0.00145140325084738
job_unemployed,0.001212357881092048
poutcome_other,0.0009233529406455938
default_yes,0.0008281500949493864
job_unknown,0.0002990310388019508
balance,0.00021027363175988662
month_dec,0.00016069357096042808
