feature_name,random_feature_importance
balance,0.8021969807540397
day,0.07455064367977082
duration,0.9868869366005173
campaign,0.7722447692966574
pdays,0.1987156815341724
previous,0.005522117123602399
job_blue-collar,0.8154614284548342
job_entrepreneur,0.7068573438476171
job_housemaid,0.7290071680409873
job_management,0.7712703466859457
job_retired,0.07404465173409036
job_self-employed,0.3584657285442726
job_services,0.11586905952512971
job_student,0.8631034258755935
job_technician,0.6232981268275579
job_unemployed,0.3308980248526492
job_unknown,0.06355835028602363
marital_married,0.3109823217156622
marital_single,0.32518332202674705
education_secondary,0.7296061783380641
education_tertiary,0.6375574713552131
education_unknown,0.8872127425763265
default_yes,0.4722149251619493
housing_yes,0.1195942459383017
loan_yes,0.713244787222995
contact_telephone,0.7607850486168974
contact_unknown,0.5612771975694962
month_aug,0.770967179954561
month_dec,0.49379559636439074
month_feb,0.5227328293819941
month_jan,0.42754101835854963
month_jul,0.02541912674409519
month_jun,0.10789142699330445
month_mar,0.03142918568673425
month_may,0.6364104112637804
month_nov,0.3143559810763267
month_oct,0.5085706911647028
month_sep,0.907566473926093
poutcome_other,0.24929222914887494
poutcome_success,0.41038292303562973
