feature_name,random_feature_importance
balance,0.034388521115218396
day,0.9093204020787821
duration,0.2587799816000169
campaign,0.662522284353982
pdays,0.31171107608941095
previous,0.5200680211778108
job_blue-collar,0.5467102793432796
job_entrepreneur,0.18485445552552704
job_housemaid,0.9695846277645586
job_management,0.7751328233611146
job_retired,0.9394989415641891
job_self-employed,0.8948273504276488
job_services,0.5978999788110851
job_student,0.9218742350231168
job_technician,0.0884925020519195
job_unemployed,0.1959828624191452
job_unknown,0.045227288910538066
marital_married,0.32533033076326434
marital_single,0.388677289689482
education_secondary,0.2713490317738959
education_tertiary,0.8287375091519293
education_unknown,0.3567533266935893
default_yes,0.28093450968738076
housing_yes,0.5426960831582485
loan_yes,0.14092422497476265
contact_telephone,0.8021969807540397
contact_unknown,0.07455064367977082
month_aug,0.9868869366005173
month_dec,0.7722447692966574
month_feb,0.1987156815341724
month_jan,0.005522117123602399
month_jul,0.8154614284548342
month_jun,0.7068573438476171
month_mar,0.7290071680409873
month_may,0.7712703466859457
month_nov,0.07404465173409036
month_oct,0.3584657285442726
month_sep,0.11586905952512971
poutcome_other,0.8631034258755935
poutcome_success,0.6232981268275579
