feature_name,random_feature_importance
balance,0.8331949117361643
day,0.17336465350777208
duration,0.3910606075732408
campaign,0.18223608778806233
pdays,0.7553614103176525
previous,0.4251558744912447
job_blue-collar,0.20794166286818883
job_entrepreneur,0.5677003278199915
job_housemaid,0.03131329245555858
job_management,0.8422847745949985
job_retired,0.44975413336976566
job_self-employed,0.3951502360018144
job_services,0.9266588657937942
job_student,0.7272719958564209
job_technician,0.3265407688058354
job_unemployed,0.5704439744053994
job_unknown,0.5208342600258237
marital_married,0.9611720243493491
marital_single,0.8445338486781514
education_secondary,0.7473201101373809
education_tertiary,0.5396921323890798
education_unknown,0.5867511656638482
default_yes,0.965255307264138
housing_yes,0.6070342476866847
loan_yes,0.27599918202254337
contact_telephone,0.2962735057040824
contact_unknown,0.1652669390630025
month_aug,0.01563640674119393
month_dec,0.4234014807063696
month_feb,0.3948815181755697
month_jan,0.2934881747180381
month_jul,0.014079822715084456
month_jun,0.19884240408880516
month_mar,0.71134195274865
month_may,0.7901755405312056
month_nov,0.6059599747810114
month_oct,0.926300878513349
month_sep,0.6510770255019445
poutcome_other,0.9149596755437808
poutcome_success,0.8500385777897993
