number of features,accuracy,mutual_info
0,0.87,0.04
1,0.87,0.04
2,0.87,0.054
3,0.87,0.065
4,0.87,0.125
5,0.87,0.125
6,0.87,0.125
7,0.87,0.125
8,0.87,0.125
9,0.87,0.125
10,0.87,0.129
11,0.87,0.149
12,0.87,0.149
13,0.87,0.167
14,0.87,0.167
