number of features,accuracy,mutual_info
0,0.87,0.055
1,0.87,0.055
2,0.87,0.055
3,0.87,0.055
4,0.87,0.1
5,0.87,0.12
6,0.87,0.137
7,0.87,0.14
8,0.87,0.164
9,0.87,0.164
10,0.87,0.187
11,0.87,0.221
12,0.875,0.221
13,0.875,0.221
14,0.875,0.221
