number of features,accuracy,mutual_info
0,0.705,0.088
1,0.794,0.312
2,0.794,0.338
3,0.795,0.496
4,0.799,0.539
5,0.799,0.601
6,0.799,0.642
7,0.799,0.644
8,0.799,0.686
9,0.799,0.733
10,0.799,0.79
11,0.799,0.808
12,0.799,0.869
13,0.799,0.923
14,0.799,0.953
