number of features,accuracy,mutual_info
0,0.818,0.176
1,0.868,0.361
2,0.874,0.474
3,0.929,0.658
4,0.945,0.709
5,0.949,0.917
6,0.949,0.923
7,0.949,0.966
8,0.949,1.064
9,0.953,1.168
10,0.953,1.247
11,0.953,1.313
12,0.953,1.319
13,0.953,1.407
14,0.953,1.418
