number of features,accuracy,mutual_info
0,0.821,0.176
1,0.852,0.392
2,0.852,0.496
3,0.852,0.544
4,0.855,0.619
5,0.883,0.777
6,0.893,0.845
7,0.9,0.991
8,0.94,1.167
9,0.94,1.192
10,0.94,1.335
11,0.94,1.342
12,0.94,1.342
13,0.94,1.436
14,0.94,1.436
