number of features,accuracy,mutual_info
0,0.799,0.168
1,0.812,0.371
2,0.812,0.432
3,0.863,0.561
4,0.863,0.608
5,0.874,0.751
6,0.887,0.811
7,0.887,0.914
8,0.887,0.955
9,0.893,1.065
10,0.897,1.2
11,0.897,1.2
12,0.897,1.2
13,0.897,1.208
14,0.897,1.259
