number of features,accuracy,mutual_info
0,0.842,0.21
1,0.852,0.36
2,0.859,0.568
3,0.902,0.646
4,0.915,0.817
5,0.925,0.976
6,0.925,1.07
7,0.942,1.131
8,0.942,1.223
9,0.942,1.233
10,0.942,1.278
11,0.942,1.421
12,0.942,1.461
13,0.942,1.461
14,0.942,1.474
