number of features,accuracy,mutual_info
0,0.741,0.157
1,0.818,0.386
2,0.87,0.444
3,0.885,0.497
4,0.896,0.547
5,0.914,0.563
6,0.924,0.563
7,0.925,0.655
8,0.925,0.68
9,0.925,0.728
10,0.925,0.768
11,0.926,0.804
12,0.926,0.845
13,0.926,0.924
14,0.926,0.989
