number of features,accuracy,mutual_info
0,0.785,0.206
1,0.794,0.319
2,0.794,0.34
3,0.809,0.399
4,0.81,0.56
5,0.81,0.601
6,0.81,0.643
7,0.81,0.702
8,0.81,0.753
9,0.81,0.811
10,0.81,0.865
11,0.81,0.908
12,0.81,0.94
13,0.81,1.02
14,0.81,1.033
