number of features,accuracy,mutual_info
0,0.741,0.157
1,0.818,0.386
2,0.87,0.444
3,0.883,0.486
4,0.91,0.486
5,0.914,0.564
6,0.914,0.625
7,0.921,0.717
8,0.928,0.756
9,0.937,0.767
10,0.94,0.804
11,0.941,0.828
12,0.943,0.876
13,0.945,0.921
14,0.945,0.98
